disease,disease_id,donor,region_id,region,broad_score,stringent_score,weighted_score,n_broad_genes_observed,n_stringent_genes_observed,n_weighted_genes_observed
Migraine,migraine,15697,86,Temporal Sup R,,,,0,0,0
Migraine,migraine,15697,87,Temporal Pole Sup L,0.5031422201877507,0.5070378034353145,0.5052680945372856,167,41,167
Migraine,migraine,15697,88,Temporal Pole Sup R,,,,0,0,0
Migraine,migraine,15697,89,Temporal Mid L,0.44353867838921507,0.4292977123810073,0.4372578237864673,167,41,167
Migraine,migraine,15697,90,Temporal Mid R,,,,0,0,0
Migraine,migraine,15697,91,Temporal Pole Mid L,0.5409847851074071,0.5590161310379336,0.5485791849007614,167,41,167
Migraine,migraine,15697,93,Temporal Inf L,0.4656008648244092,0.47481467078036244,0.4685867021221842,167,41,167
Migraine,migraine,15697,94,Temporal Inf R,,,,0,0,0
Migraine,migraine,15697,95,Cerebellum Crus1 L,0.4873938148784691,0.4813022671548124,0.4740563054835401,167,41,167
Migraine,migraine,15697,96,Cerebellum Crus1 R,,,,0,0,0
Migraine,migraine,15697,97,Cerebellum Crus2 L,0.48380562172309793,0.49463559090687953,0.4912187454295418,167,41,167
Migraine,migraine,15697,98,Cerebellum Crus2 R,,,,0,0,0
Migraine,migraine,15697,101,Cerebellum 4 5 L,0.4971946644144694,0.491079030757599,0.49930931836400966,167,41,167
Migraine,migraine,15697,102,Cerebellum 4 5 R,,,,0,0,0
Migraine,migraine,15697,103,Cerebellum 6 L,0.5152711106230777,0.5213231516973841,0.5127123076459701,167,41,167
Migraine,migraine,15697,104,Cerebellum 6 R,,,,0,0,0
Migraine,migraine,15697,105,Cerebellum 7b L,0.4403593840542219,0.4346811345948699,0.43655447857487095,167,41,167
Migraine,migraine,15697,106,Cerebellum 7b R,,,,0,0,0
Migraine,migraine,15697,107,Cerebellum 8 L,0.4933801075800269,0.5063992886818657,0.49710304915976955,167,41,167
Migraine,migraine,15697,108,Cerebellum 8 R,,,,0,0,0
Migraine,migraine,15697,109,Cerebellum 9 L,,,,0,0,0
Migraine,migraine,15697,110,Cerebellum 9 R,,,,0,0,0
Migraine,migraine,15697,111,Cerebellum 10 L,,,,0,0,0
Migraine,migraine,15697,118,Vermis 8,0.6073262220681401,0.6453895982823948,0.6096398910429545,167,41,167
Migraine,migraine,15697,119,Vermis 9,0.5470117721275136,0.5680281648768002,0.546409200830347,167,41,167
Migraine,migraine,15697,121,Thal AV L,0.5129454100733642,0.513516906397469,0.5048627361949083,167,41,167
Migraine,migraine,15697,122,Thal AV R,,,,0,0,0
Migraine,migraine,15697,125,Thal VA L,0.5136618730091022,0.48459250764707085,0.5012672161834121,167,41,167
Migraine,migraine,15697,127,Thal VL L,0.4828096544109675,0.5082734028821272,0.48594600124716375,167,41,167
Migraine,migraine,15697,128,Thal VL R,,,,0,0,0
Migraine,migraine,15697,129,Thal VPL L,0.49905037667317004,0.5213079559217684,0.5020663741154279,167,41,167
Migraine,migraine,15697,130,Thal VPL R,,,,0,0,0
Migraine,migraine,15697,131,Thal IL L,0.5460767454326027,0.5974050059014623,0.5679085558524494,167,41,167
Migraine,migraine,15697,135,Thal MDm L,,,,0,0,0
Migraine,migraine,15697,136,Thal MDm R,,,,0,0,0
Migraine,migraine,15697,137,Thal MDl L,0.4372950934268414,0.4705629482954807,0.44570824718332674,167,41,167
Migraine,migraine,15697,139,Thal LGN L,,,,0,0,0
Migraine,migraine,15697,140,Thal LGN R,,,,0,0,0
Migraine,migraine,15697,141,Thal MGN L,0.5018459767466361,0.5242427973248021,0.5145075038211807,167,41,167
Migraine,migraine,15697,143,Thal PuI L,0.5007344528751624,0.546795146535948,0.5161048878858506,167,41,167
Migraine,migraine,15697,144,Thal PuI R,,,,0,0,0
Migraine,migraine,15697,145,Thal PuM L,0.5223435897774189,0.5488863449565335,0.537327829583073,167,41,167
Migraine,migraine,15697,146,Thal PuM R,,,,0,0,0
Migraine,migraine,15697,147,Thal PuA L,,,,0,0,0
Migraine,migraine,15697,148,Thal PuA R,,,,0,0,0
Migraine,migraine,15697,153,ACC pre L,0.48238472759350615,0.4813166782229561,0.47403536370942045,167,41,167
Migraine,migraine,15697,154,ACC pre R,,,,0,0,0
Migraine,migraine,15697,155,ACC sup L,0.4877923311853594,0.5214545754685129,0.5048841898917664,167,41,167
Migraine,migraine,15697,156,ACC sup R,,,,0,0,0
Migraine,migraine,15697,157,N Acc L,0.5219646921185652,0.5508134300029415,0.5428968572300186,167,41,167
Migraine,migraine,15697,158,N Acc R,,,,0,0,0
Migraine,migraine,15697,161,SN pc L,,,,0,0,0
Migraine,migraine,15697,163,SN pr L,0.5040348892035099,0.42663639995968444,0.4726098620614058,167,41,167
Migraine,migraine,15697,164,SN pr R,,,,0,0,0
Migraine,migraine,15697,165,Red N L,0.5401106723066375,0.6057171858055413,0.5625055587042234,167,41,167
Migraine,migraine,15697,166,Red N R,,,,0,0,0
Migraine,migraine,15697,167,LC L,,,,0,0,0
Migraine,migraine,15697,168,LC R,,,,0,0,0
Migraine,migraine,15697,169,Raphe D,,,,0,0,0
Migraine,migraine,15697,170,Raphe M,,,,0,0,0
Migraine,migraine,9861,1,Precentral L,0.5125215845079577,0.5070360129450052,0.5061986507945602,167,41,167
Migraine,migraine,9861,2,Precentral R,0.5002741788420353,0.4921449072613652,0.4906480444391109,167,41,167
Migraine,migraine,9861,3,Frontal Sup 2 L,0.48351725793935796,0.48151276682410526,0.4769179651603268,167,41,167
Migraine,migraine,9861,4,Frontal Sup 2 R,0.5017852535010957,0.5056742886869495,0.5014055520786483,167,41,167
Migraine,migraine,9861,5,Frontal Mid 2 L,0.5048627698093199,0.4959399910913805,0.49718164556900263,167,41,167
Migraine,migraine,9861,6,Frontal Mid 2 R,0.5022614383020871,0.49628459452338913,0.49365546917588815,167,41,167
Migraine,migraine,9861,7,Frontal Inf Oper L,0.5047193617646041,0.5341092488503895,0.5112599407158941,167,41,167
Migraine,migraine,9861,8,Frontal Inf Oper R,0.49789575211623555,0.5090765965647277,0.4956666999704459,167,41,167
Migraine,migraine,9861,9,Frontal Inf Tri L,0.5237635956024096,0.5219193196696073,0.5145478234618209,167,41,167
Migraine,migraine,9861,10,Frontal Inf Tri R,0.49087930465648055,0.4672097188440641,0.4753422657585708,167,41,167
Migraine,migraine,9861,11,Frontal Inf Orb 2 L,0.5302520232182463,0.5316170134016146,0.5207857004910942,167,41,167
Migraine,migraine,9861,12,Frontal Inf Orb 2 R,0.5182743183606031,0.5307908026437137,0.5167150414521986,167,41,167
Migraine,migraine,9861,13,Rolandic Oper L,0.5035680155138386,0.5340092551799348,0.5186486689599334,167,41,167
Migraine,migraine,9861,14,Rolandic Oper R,0.5387128924899698,0.5608643646612231,0.544062767873403,167,41,167
Migraine,migraine,9861,15,Supp Motor Area L,0.5082168828589206,0.5175411339686558,0.505061300191859,167,41,167
Migraine,migraine,9861,16,Supp Motor Area R,0.4945883834292438,0.4851942602061238,0.4861713161203775,167,41,167
Migraine,migraine,9861,17,Olfactory L,0.5055947977664434,0.47072086147405606,0.4931982797825888,167,41,167
Migraine,migraine,9861,18,Olfactory R,0.4779009455492288,0.46092164603978075,0.4689945866697911,167,41,167
Migraine,migraine,9861,19,Frontal Sup Medial L,0.5353761194109441,0.5345039504264425,0.5329545141194971,167,41,167
Migraine,migraine,9861,20,Frontal Sup Medial R,0.49264424927956135,0.4910273517920592,0.4877073815744425,167,41,167
Migraine,migraine,9861,21,Frontal Med Orb L,0.5110252636688746,0.5332487894409662,0.5168942232872537,167,41,167
Migraine,migraine,9861,22,Frontal Med Orb R,0.5373894784666385,0.5347563891748407,0.5329837515071966,167,41,167
Migraine,migraine,9861,23,Rectus L,0.49830726452286583,0.49950878720863845,0.5067787206981053,167,41,167
Migraine,migraine,9861,24,Rectus R,0.5345437321066693,0.5246793199434652,0.527387520697524,167,41,167
Migraine,migraine,9861,25,OFCmed L,0.5194408587253756,0.5172118439490045,0.5075572587092839,167,41,167
Migraine,migraine,9861,26,OFCmed R,0.5226372617327509,0.5070618235868859,0.5105110583605917,167,41,167
Migraine,migraine,9861,27,OFCant L,0.5510731954994477,0.53716254299679,0.5540615850857165,167,41,167
Migraine,migraine,9861,28,OFCant R,0.5096335202617984,0.506262931760927,0.5173238336252853,167,41,167
Migraine,migraine,9861,29,OFCpost L,0.5105557980579164,0.5583010286943679,0.5282513930662055,167,41,167
Migraine,migraine,9861,30,OFCpost R,0.5233733797109378,0.5147477293274171,0.513388254915502,167,41,167
Migraine,migraine,9861,31,OFClat L,,,,0,0,0
Migraine,migraine,9861,32,OFClat R,0.5289088329116916,0.5671687825647381,0.5424695450588408,167,41,167
Migraine,migraine,9861,33,Insula L,0.5095919521701774,0.5210087897395973,0.5137383959413159,167,41,167
Migraine,migraine,9861,34,Insula R,0.5071933034056636,0.49139561074298027,0.49764246908116744,167,41,167
Migraine,migraine,9861,37,Cingulate Mid L,0.48268846461556447,0.5018176636387431,0.486808559734952,167,41,167
Migraine,migraine,9861,38,Cingulate Mid R,0.499116456925195,0.4890063901802857,0.49387554560115593,167,41,167
Migraine,migraine,9861,39,Cingulate Post L,0.5248002703795489,0.5272419349200059,0.5156651662729062,167,41,167
Migraine,migraine,9861,41,Hippocampus L,0.49537731593007667,0.5077889231595313,0.5008975982357708,167,41,167
Migraine,migraine,9861,42,Hippocampus R,0.49266480790235545,0.48935007216230814,0.4898854311658862,167,41,167
Migraine,migraine,9861,43,ParaHippocampal L,0.49369929817299607,0.5111071127752211,0.5090438841558386,167,41,167
Migraine,migraine,9861,44,ParaHippocampal R,0.5196755428753715,0.5331376614057287,0.5241894058736444,167,41,167
Migraine,migraine,9861,45,Amygdala L,0.49313634398679146,0.47390099093382243,0.4966372203452592,167,41,167
Migraine,migraine,9861,46,Amygdala R,0.42536329882398966,0.3690936491383952,0.4157743209876311,167,41,167
Migraine,migraine,9861,47,Calcarine L,0.5182597242821738,0.5807063200262726,0.5489145935879747,167,41,167
Migraine,migraine,9861,48,Calcarine R,0.48836991292130766,0.5399677306633425,0.5214004545351174,167,41,167
Migraine,migraine,9861,49,Cuneus L,,,,0,0,0
Migraine,migraine,9861,51,Lingual L,0.507628157079566,0.5966208094260624,0.5430931728619109,167,41,167
Migraine,migraine,9861,52,Lingual R,0.5047663128318844,0.5719318894664314,0.5300108145726192,167,41,167
Migraine,migraine,9861,53,Occipital Sup L,,,,0,0,0
Migraine,migraine,9861,55,Occipital Mid L,0.5280649904912663,0.5326173201834267,0.5392489837849603,167,41,167
Migraine,migraine,9861,56,Occipital Mid R,0.5405634806788635,0.5633577137398526,0.5562114033969539,167,41,167
Migraine,migraine,9861,57,Occipital Inf L,0.5082324459510704,0.48158860248397695,0.5056407690977476,167,41,167
Migraine,migraine,9861,58,Occipital Inf R,0.5064726625850382,0.5304924535346358,0.5184420831263428,167,41,167
Migraine,migraine,9861,59,Fusiform L,0.48341181808151074,0.4745802746243374,0.4826113008706025,167,41,167
Migraine,migraine,9861,60,Fusiform R,0.4950234128410463,0.4715412980517674,0.4850710182222869,167,41,167
Migraine,migraine,9861,61,Postcentral L,0.5055991067476283,0.5311863549365577,0.5104937131305955,167,41,167
Migraine,migraine,9861,62,Postcentral R,0.5155522146149567,0.5101384685062855,0.5109276374206414,167,41,167
Migraine,migraine,9861,63,Parietal Sup L,0.5339218724861979,0.5471522042853807,0.5436886856687102,167,41,167
Migraine,migraine,9861,64,Parietal Sup R,0.4715649819928648,0.44095720691685303,0.4644632082667366,167,41,167
Migraine,migraine,9861,65,Parietal Inf L,0.49866374610449465,0.4822582103767905,0.4906827892069218,167,41,167
